sampleName Signature.1 Signature.2 Signature.3 Signature.4 Signature.5 Signature.6 Signature.7a Signature.7b Signature.7c Signature.7d Signature.8 Signature.9 Signature.10a Signature.10b Signature.10c Signature.10d Signature.11 Signature.12 Signature.13 Signature.14 Signature.15 Signature.16 Signature.17a Signature.17b Signature.18 Signature.19 Signature.20 Signature.21 Signature.22 Signature.23 Signature.24 Signature.25 Signature.26 Signature.27 Signature.28 Signature.29 Signature.30 Signature.31 Signature.32 Signature.33 Signature.34 Signature.35 Signature.36 Signature.37 Signature.38 Signature.39 Signature.40 Signature.41 Signature.42 Signature.43 Signature.44 Signature.45 Signature.46 Signature.47 Signature.48 Signature.49 Signature.50 Signature.51 Signature.52 Signature.53 Signature.54 Signature.55 Signature.56 Signature.57 Signature.58 Signature.59 Signature.60 Signature.84 Signature.85 Signature.86 Signature.87 Signature.88 Signature.89 Signature.90 Signature.91 Signature.92 Signature.93 Signature.94 Residuals AbsResiduals RSS N.Mutations
BTC_9005_Lv_P_526_SBS 582.580872305602 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 719.614170170784 0 152.416973476811 0 0 0 531.551711482637 0 0 1083.61525473112 0 0 0 0 0 830.210264691609 0 0 0 298.819204031916 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 621.20682151457 0 0 0 0 0 0 0 0 889.984727594955 2020.91739281402 98731.4037623687 5710
BTC_0032_Lv_M_526_SBS 99.7428370104625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 263.841499254339 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 139.650558063618 0 0 0 0 704.765105671581 845.535106595584 12767.0047894485 1208
BTC_0034_Lu_M_526_SBS 733.405791475907 242.495399593764 0 0 0 0 0 0 0 0 581.984124601374 0 0 100.162905595142 0 0 0 0 153.046859402031 0 0 0 0 126.774291438541 219.843005113859 0 0 0 0 0 0 0 0 0 0 0 507.740671919736 0 0 0 50.3076715087484 0 0 0 0 0 2844.38522747142 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 393.683505994307 0 0 0 0 0 0 0 0 0 99.1705458851688 1106.63027693711 23147.9625520843 6053
BTC_9017_Lv_P_526_SBS 332.009201215585 110.192231579389 0 0 2360.91067656118 0 0 0 0 0 714.076583216752 0 0 0 0 0 0 0 56.5846512216729 0 0 0 0 0 643.754371745395 125.62146241797 0 164.793753960847 0 0 0 0 0 0 0 0 129.035055794505 0 0 0 134.90023096742 0 0 0 0 0 740.887358215799 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -63.7655768965182 865.609006270406 14600.8666681124 5449
BTC_0044_Lv_P_526_SBS 398.313498750707 226.227045765267 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 247.443243756546 0 0 0 0 0 0 0 0 0 0 762.507621090859 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1006.45535674078 0 0 0 0 0 0 0 0 0 1274.05323389584 1846.56128783818 64430.974981779 3915
BTC_9006_Lv_P_526_SBS 518.828201554358 61.948807991825 0 0 0 0 0 0 0 0 401.819796578879 0 0 0 0 0 0 0 0 0 0 0 0 52.9503647010717 0 122.678746643027 0 320.397164496455 0 0 0 0 0 0 0 0 231.011303759215 0 0 0 189.285281817635 0 0 0 0 0 2987.74756269753 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 41.3327697600007 1112.84260217698 23396.4069146933 4928
BTC_9004_Lv_P_526_SBS 538.631716056886 179.906843284086 0 0 0 0 0 0 0 0 868.620682182687 0 0 0 0 0 0 0 51.7802282959108 0 0 286.168420378179 0 0 0 546.249097851149 0 350.854167906283 0 0 0 810.607764598007 653.514966514543 0 0 0 267.10449035311 0 0 0 213.436793779021 0 0 0 0 0 3495.43020352479 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 291.896326017593 0 0 0 0 0 18.7982992577533 1615.97385094977 47513.7011104273 8573
BTC_9007_Lv_P_526_SBS 165.818285425335 0 0 0 1652.52572986199 0 0 0 0 0 635.588398522963 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 283.181426077203 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 233.667298220245 0 0 0 0 0 -97.7811381077412 968.630873905915 16422.4745289374 2873
BTC_0051_Lv_M_526_SBS 792.862479502988 154.452275713878 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1159.02678008778 0 0 0 0 0 602.055179518927 1234.52876739776 0 0 308.476028490499 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1674.59848928817 2499.59964163559 105966.544767788 5926
BTC_0043_Lv_M_526_SBS 771.421318176839 233.236836586869 0 0 3310.7240397829 889.254893738589 0 0 0 0 1112.75795438402 0 0 90.7599729483425 0 0 0 0 213.280086730285 0 0 0 0 0 0 0 0 0 0 0 0 0 469.291905122878 0 0 0 0 0 451.805167100252 0 251.563658876394 0 0 1648.70584002517 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 362.19832652746 1496.99282295394 39381.594039138 9805
