cell_type,BTC_0004,BTC_0009,BTC_0010,BTC_0011,BTC_0012,BTC_0013,BTC_0014,BTC_0015,BTC_0016,BTC_0017,BTC_0018,BTC_0019,BTC_0020,BTC_0022,BTC_0023,BTC_0024,BTC_0025,BTC_0026,BTC_0028,BTC_0029,BTC_0030,BTC_0032,BTC_0033,BTC_0034,BTC_0035,BTC_0036,BTC_0037,BTC_0038,BTC_0039,BTC_0040,BTC_0042,BTC_0045,BTC_8002
B cell_TIMER,0.10482849321133,0.102248755430692,0.0931890434194652,0.108131010691252,0.0997296481671281,0.104903657298147,0.0977477080796971,0.101054343838083,0.0946390203258238,0.102803736977863,0.102413202420765,0.0999388375511533,0.099355846035564,0.10743917719648,0.0953650689615409,0.116218848582068,0.101245857562588,0.100542399356448,0.109144577330802,0.103145496324277,0.0991322850339414,0.128918018388596,0.0979257938850828,0.0996585878930434,0.101258913035388,0.122386039287459,0.102894952389829,0.0933554076862605,0.0989664376172248,0.0974042851883807,0.100161171243564,0.11313679701244,0.0867019967729567
T cell CD4+_TIMER,0.122667087537558,0.115795741539889,0.120045156119575,0.139177762574469,0.107427557279582,0.124556132146901,0.12194863815182,0.12480362732137,0.117470020847476,0.115542420304611,0.106096993575578,0.105864482439601,0.122342265318142,0.134902217393536,0.151680898265954,0.115220477695229,0.120840855145526,0.114881577698977,0.112417457170604,0.114156686319506,0.114123463539202,0.147503133114639,0.134976540421605,0.122450731985443,0.132689436668906,0.118139808963535,0.122098381524231,0.120085231348847,0.118793972282657,0.139812973182836,0.111785952366746,0.146954486349851,0.102106983394245
T cell CD8+_TIMER,0.194022019719435,0.214202678095603,0.195913266185918,0.200528262903123,0.216848490212838,0.206820996538525,0.190064755098531,0.198625084239602,0.195908998278454,0.197492689485849,0.211455512003877,0.213995220263617,0.192326957478165,0.188121496566353,0.200588336226852,0.208439333458118,0.196519783970187,0.214843350728181,0.208228131802608,0.213398054932919,0.20614133040638,0.191344809674127,0.201978475792968,0.198559066239764,0.198079712813174,0.212037097514727,0.203656253736328,0.201201315906132,0.195530738607958,0.208738701756147,0.206695038915632,0.176499724374681,0.213309452803728
Neutrophil_TIMER,0.113869767128249,0.105055088565448,0.109704783759895,0.133703883393097,0.10192692749762,0.115169433576961,0.110958948062677,0.10827620679162,0.105860809728885,0.11134250924874,0.105828118412701,0.10594869117997,0.10278450355934,0.103377832190964,0.126168284162228,0.108455730093055,0.109021467389658,0.108643014300314,0.106692828918633,0.108722115569046,0.111073069612217,0.111179900274455,0.11473524229179,0.114041600108028,0.114084602820558,0.113434203095378,0.105859857939686,0.105312598416258,0.108809812515047,0.125222503799394,0.10940919495035,0.0960170848461166,0.119700264086877
Macrophage_TIMER,0.052444789822162,0.0641745824332952,0.0625208511314376,0.0468607181575685,0.0528510986011348,0.0769319611900409,0.0611694823228395,0.0689401179558623,0.0583689021422594,0.0630539821339021,0.0601159549221748,0.054477956342726,0.0565923577052425,0.0392120778086264,0.0380367255008175,0.0608588150055921,0.0565124386094286,0.0530965676979418,0.0766917446940644,0.0792876509168978,0.0558243312360828,0.0734657542710909,0.0520819883274007,0.060183619097648,0.0648849134081208,0.0915977100934983,0.052369550779754,0.0587564797081664,0.0584090231898566,0.110388589287948,0.0713343115817059,0.0620434883455403,0.00698855314222752
Myeloid dendritic cell_TIMER,0.512449215443493,0.507107179711244,0.482938004091932,0.530648636454588,0.540671577160805,0.478378207909209,0.482844823650873,0.489223121719159,0.488705842887247,0.498390906963079,0.49049115843022,0.496480859019251,0.492518136924698,0.536737541270778,0.536918021966343,0.505622447199476,0.514003256196554,0.50236607161656,0.501548639347119,0.484193876430571,0.492216544355863,0.519065776921044,0.520084541267596,0.499417955634081,0.505911438199485,0.467155685040159,0.522718311932234,0.505433923530109,0.488430881344857,0.444945975703999,0.484336723248816,0.493403036291678,0.603376662101943
B cell naive_CIBERSORT,0,0,0,0,0,0,0,0,0,0,0,0,0.00226575649686821,0,0.000710376901043323,0,0,0,0.00514627324876218,0,0,0.285846581175683,0.000944940516646981,0,0,0,0.0489724585810144,0,0,0,0,0,0
B cell memory_CIBERSORT,0.0216040330495082,0.105036662664494,0.00616069202888521,0.0875792599896361,0.114182887742792,0.0930602737595398,0.158718595614727,0.0114082660007674,0.0126330676776606,0.118172701462943,0.0438816419069054,0.00809813161311998,0,0,0.0467816482815735,0.213307883602999,0.0565049999165942,0.0534062584316578,0.111279454088965,0.0674047399817293,0.00938134299603422,0.120916968772351,0.0164056485503128,0.256553799339998,0.0431716809368922,0.104589111702344,0.148693183502422,0.0747754525021917,0.179600769290381,0.0544360572312609,0.0528381027177542,0.00231065257859726,0.0160611107826215
B cell plasma_CIBERSORT,0.0361803285986054,0,0,0.116338010902393,0,0.0737852286390449,0.0775321406347419,0,0,0.0276092590907086,0.0989882432558993,0,0.00219701054993751,0,0.0197268847710083,0.0490705419705202,0,0.0388375567306167,0.0319276178760361,0.0217694250395907,0,0.000288740331955739,0.0930875715484522,0.0844573552229674,0.0776161448531671,0.0320332915524456,0.107886031772909,0.0634072931294873,0.068763665429981,0.00796085248405505,0.118402730973907,0.0662149240562956,0.00112620094626232
T cell CD8+_CIBERSORT,0.0854844856258394,0,0.0572201935649445,0.0896335638144947,0.115128718196128,0,0.0310516334282453,0,0,0,0,0,0,0.130311080905418,0.141140800449026,0,0.0917175617671437,0.059164190421764,0.140728367473634,0,0,0.114383437633092,0.0635360230585503,0,0.0440535338845211,0,0,0,0.0119455428681325,0.0572058774168747,0,0,0
